yy,mm,dd,site,ph,do,bod,cod,ss,tn,tp,toc,t.coli,cd,cn,pb,cr6+,as,hg,chla,f.coli,abs,sb
1994,11,14,도림천,6.9,11,10.3,7.6,4,7.717,0.817,,8000,,,,,,,,,,
1994,11,14,목감천,7.1,2,26.2,24.2,34,9.47,1.542,,230000,,,,,,,,,,
1994,11,14,성내천,6.8,10.3,8,6,3,3.252,0.129,,4000,,,,,,,,,,
1994,11,14,양재천,6.9,11.4,6.9,4.9,2.5,7.14,0.132,,26000,,,,,,,,,,
1994,11,14,정릉천,6.9,7.6,9,4,2.5,7.717,0.353,,40000,,,,,,,,,,
1994,11,14,홍제천,7.2,14.8,6.4,5.9,2.5,4.757,0.369,,14000,,,,,,,,,,
1994,11,21,잠실,7.5,9.2,2.3,3.4,6,2.931,0.084,,500,,,,,,,,,,
1994,11,24,안양천4,7.1,4.3,12.6,28,20,9.696,0.199,,1600000,,,,,,,,,,
1994,11,24,안양천5,7.2,4.6,7.6,12,8,12.096,0.186,,1600000,,,,,,,,,,
1994,11,24,영등포,7.1,4.9,1.8,3.7,8,4.56,0.399,,90000,,,,,,,,,,
1994,11,31,가양,7.2,5,3.4,5.3,18.6,3.76,1.602,,51000,0,0,0,0,0,0,,,0.1,
1994,11,31,노량진,7.2,6,2.5,4,6.2,5.044,0.334,,68000,0,0,0,0,0,0,,,0.1,
1994,11,31,중랑천2,7.3,3.1,23.5,18.4,47,5.424,0.694,,280000,,,,,,,,,,
1994,11,31,중랑천3,7,2.5,27.7,20.8,26,12.144,0.788,,1600000,,,,,,,,,,
1994,11,31,중랑천4,7.5,4.1,6.3,9.3,15,2.64,0.192,,35000,,,,,,,,,,
1994,11,31,탄천5,7.1,3,26.9,16.5,28,14.448,1.152,,1600000,,,,,,,,,,
1994,12,2,구의,7.8,7.5,1.6,3.3,3,2.015,0.097,,900,0,0,0,0,0,0,,,0,
1994,12,2,보광,7.5,5.4,3.6,5.3,3,2.968,0.282,,1600,0,0,0,0,0,0,,,0,
1994,12,2,암사,7.8,7.5,1.3,3.6,3,1.526,0.036,,1600,0,0,0,0,0,0,,,0,
1994,12,16,고덕천,7.3,10.8,13.4,7.4,5,12.096,0.191,,210000,0,0,0,0,0,0,,,0,
1994,12,16,도림천,7.6,14,4.4,3.3,24.6,5.515,0.328,,6000,0,0,0,0,0,0,,,0.1,
1994,12,16,목감천,7.4,8.2,18.9,13.4,24,9.261,1.571,,70000,0,0,0,0,0,0,,,0.1,
1994,12,16,양재천,7.3,12.4,7.1,5.2,3.7,10.114,0.276,,8000,0,0,0,0,0,0,,,0,
1994,12,16,정릉천,7.4,13,7.9,4.5,4.7,8.489,0.51,,800000,0,0,0,0,0,0,,,0,
1994,12,16,홍제천,7.5,12.4,6.2,4.5,6.6,6.129,0.397,,5000,0,0,0,0,0,0,,,0.1,
1994,12,20,잠실,7.4,10.4,1.6,2.1,6,3.118,0.091,,400,0,0,0,0,0,0,,,0.3,
1994,12,21,안양천4,7.6,5.7,13.6,15.6,12.9,9.84,0.742,,140000,0,0,0,0,0,0,,,0.2,
1994,12,21,안양천5,7.7,5.5,8.8,13.6,9,12.528,0.645,,34000,0,0,0,0,0,0,,,0.5,
1994,12,21,영등포,7.2,5.6,2.2,4.1,6,1.238,0.213,,5000,0,0,0,0,0,0,,,0.1,
1994,12,28,가양,7.3,6,3.4,5.8,15.9,3.243,0.23,,10000,0,0,0,0,0,0,,,0.1,
1994,12,28,노량진,7.3,7,2.8,5,7.6,3.908,0.307,,13000,0,0,0,0,0,0,,,0.1,
1994,12,28,중랑천2,7.5,4.4,18,20.8,45,3.36,0.769,,33000,0,0,0,0,0,0,,,0.5,
1994,12,28,중랑천3,7.4,4,33.1,20.6,34,6.528,1.463,,900000,0,0,0,0,0,0,,,0.3,
1994,12,28,중랑천4,7.8,5.5,7.6,13.5,36,6.941,0.59,,4000,0,0,0,0,0,0,,,0.4,
1994,12,28,탄천5,7.4,4.4,31.4,17.9,33,6.48,0.55,,160000,0,0,0,0,0,0,,,0.1,
1994,1,5,뚝도,7.9,12.5,2.7,3.5,11.5,2.222,0.057,,1600,,,,,,,,,,
1994,2,2,뚝도,8.2,13.8,2.7,4,12,2.919,0.101,,2800,,,,,,,,,,
1994,3,2,뚝도,8,13.6,3.3,5.2,13.5,2.352,0.126,,9000,0,0,0,0,0,0,,,0.1,
1994,4,4,뚝도,7.9,12.4,3.8,5,12.2,2.611,0.054,,3000,,,,,,,,,,
1994,5,2,뚝도,7.5,8.2,2.3,3.3,5.5,2.578,0.235,,900,,,,,,,,,,
1994,6,12,뚝도,7.4,5.1,0.8,4,2,1.843,0.059,,17000,0,0,0,0,0,0,,,0,
1994,7,4,뚝도,7.4,5.9,2,5.3,5,3.888,0.209,,50000,,,,,,,,,,
1994,8,8,뚝도,7.4,5.9,2.6,4.7,6,2.592,0.11,,2200,,,,,,,,,,
1994,9,29,뚝도,7.7,3.2,2.6,5.4,10,2.009,0.247,,8000,0,0,0,0,0,0,,,0,
1994,10,5,뚝도,7.8,7.5,2.2,4,5,2.851,0.134,,1600,,,,,,,,,,
1994,11,3,뚝도,7.6,7.2,3,3.4,10,4.19,0.153,,1600,,,,,,,,,,
1994,12,2,뚝도,7.6,6.5,1.7,4,8,3.875,0.173,,1600,0,0,0,0,0,0,,,0,
1995,1,4,가양,7.4,8,3.9,6.4,12.6,5.377,0.284,,7000,0,0,0,0,0,0,,0.1,,
1995,1,4,구의,8.1,7.5,1.8,3.1,4.1,1.757,0.053,,300,,,,,,,,,,
1995,1,4,노량진,7.4,9,4,5.6,6,3.525,0.251,,10000,0,0,0,0,0,0,,0.1,,
1995,1,4,보광,8,6.7,3.7,4.6,5.5,4.608,0.221,,1600,,,,,,,,,,
1995,1,4,암사,8.2,7.5,2.2,3.6,4.1,2.122,0.158,,300,,,,,,,,,,
1995,1,4,잠실,8.2,8.4,2.3,3.6,4.6,1.853,0.058,,700,,,,,,,,,,
